First,Last ,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,T2ACure,Tunxis,NipMar,Mohawk,Bimblers,Total
Amanda,Jassen,59.52,*,*,*,*,*,*,,,,,,59.52
Kelley,Schwartz,*,*,59.45,*,*,*,*,,,,,,59.45
Sarah,Luedee,*,59.37,*,*,*,*,*,,,,,,59.37
Jacqueline,Curtis,*,*,59.2,*,*,*,*,,,,,,59.2
Sara,Pearson,*,*,*,*,59.14,*,*,,,,,,59.14
Gina,Monaco,*,*,*,*,*,58.72,*,,,,,,58.72
Emma,Weiss,*,*,58.56,*,*,*,*,,,,,,58.56
Emma,Pinney,*,*,58.53,*,*,*,*,,,,,,58.53
Riley,Liistro,*,*,*,*,58.51,*,*,,,,,,58.51
Emma,Maclean,*,*,*,58.37,*,*,*,,,,,,58.37
Marisa,Patton,*,58.28,*,*,*,*,*,,,,,,58.28
Karen,Loops,*,*,*,*,*,*,58.26,,,,,,58.26
Judith,Shaw,*,*,*,*,58.07,*,*,,,,,,58.07
Carolina,Lujambio,*,*,58.02,*,*,*,*,,,,,,58.02
Katie,Lane,*,58,*,*,*,*,*,,,,,,58
Silke,Lavallee,57.68,*,*,*,*,*,*,,,,,,57.68
Suzanne,Murphy,*,*,*,*,57.64,*,*,,,,,,57.64
Colleen,Keenan,57.51,*,*,*,*,*,*,,,,,,57.51
Catherine,Bazinet,*,*,57.5,*,*,*,*,,,,,,57.5
Theresa,Dudek,*,*,*,*,57.33,*,*,,,,,,57.33
Jimena,Dolzadelli,*,56.91,*,*,*,*,*,,,,,,56.91
Kristen,Skulte,*,56.91,*,*,*,*,*,,,,,,56.91
Pam,Morrow,*,56.86,*,*,*,*,*,,,,,,56.86
Lizz,Weiler,*,56.86,*,*,*,*,*,,,,,,56.86
Joelle,Brohen,56.53,*,*,*,*,*,*,,,,,,56.53
Wanda,Hoople,56.41,*,*,*,*,*,*,,,,,,56.41
Jo,Palerm,56.4,*,*,*,*,*,*,,,,,,56.4
Dana,Crory,56.33,*,*,*,*,*,*,,,,,,56.33
Natalia,Scarpetti,*,*,56.33,*,*,*,*,,,,,,56.33
Katie,Farrington,56.17,*,*,*,*,*,*,,,,,,56.17
Dianne,Nelson,56.09,*,*,*,*,*,*,,,,,,56.09
Patti,Brown,*,*,56.06,*,*,*,*,,,,,,56.06
