First,Last,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,T2ACure,Tunxis,NipMAr,Mohawk,Bimblers,Total
Gregory,Preston,*,*,*,43.25,,,,,,,,,0
Jason,Pufahl,*,*,71.34,*,,,,,,,,,71.34
Andy,Puhlick,*,*,47.98,*,,,,,,,,,47.98
Eli,Queen,*,*,*,84.01,,,,,,,,,0
Matthew,Quinn,62.37,*,*,*,,,,,,,,,62.37
Mitchell,Rakowski,67.84,*,*,*,,,,,,,,,67.84
Robert,Rakowski,52.04,*,*,*,,,,,,,,,52.04
Jed,Rategan,*,*,64.85,*,,,,,,,,,64.85
Brian,Reynolds,*,*,*,41.43,,,,,,,,,0
John,Ricardi,*,58.99,*,*,,,,,,,,,58.99
Steven,Rice,47.6,*,*,*,,,,,,,,,47.6
Gary,Richards,51.01,*,*,*,,,,,,,,,51.01
Aris,Ristau,83.99,*,*,*,,,,,,,,,83.99
Ben,Ristau,82.8,*,*,*,,,,,,,,,82.8
Aris,Ristau,*,76.02,*,83.73,,,,,,,,,76.02
Nathan,Rochette,*,*,71.33,*,,,,,,,,,71.33
Daniel,Rogoz,*,*,*,99.51,,,,,,,,,0
Edward,Rudman,42.63,*,*,*,,,,,,,,,42.63
Brian,Rusiecki,*,84.72,*,*,,,,,,,,,84.72
William,Sanders,*,100,*,*,,,,,,,,,100
Matt,Santacroce,*,*,*,56.72,,,,,,,,,0
John,Santillo,*,*,58.15,*,,,,,,,,,58.15
Derrick,Sasaki,*,*,60.21,*,,,,,,,,,60.21
Owen,Schenck,*,*,83.72,*,,,,,,,,,83.72
Richard,Schenck,*,*,60.69,*,,,,,,,,,60.69
Jason,Schlidt,*,*,*,77.81,,,,,,,,,0
David,Schreiter,*,*,50.88,*,,,,,,,,,50.88
Michael,Schwarz,74.44,*,*,74.77,,,,,,,,,74.44
Timothy,Seidl,*,76.01,*,83.72,,,,,,,,,76.01
Matt,Shamey,*,94.48,*,*,,,,,,,,,94.48
Dylan,Shusta,*,*,98.55,*,,,,,,,,,98.55
Conor,Smith,*,*,73.9,*,,,,,,,,,73.9
Patrick,Smith,54.07,*,*,*,,,,,,,,,54.07
Henning,Smith,*,*,*,63.71,,,,,,,,,0
Jason,Snukis,*,*,*,55.51,,,,,,,,,0
Kevin,Sowa,*,*,64.79,*,,,,,,,,,64.79
Kevin,St Pierre,54.11,50.8,58.31,56.54,,,,,,,,,163.22
Steven,Starke,*,74.34,*,*,,,,,,,,,74.34
David,Stawski,*,*,*,84.31,,,,,,,,,0
Jeff,Sullivan,76.33,*,*,68.19,,,,,,,,,76.33
David,Sutherland,*,*,*,53.63,,,,,,,,,0
James,Sweney,*,*,*,56.08,,,,,,,,,0
Jonathan,Tarbox,63.4,*,*,*,,,,,,,,,63.4
Michael,Tatonetti,*,*,*,66.99,,,,,,,,,0
William,Theinert,*,*,76.91,*,,,,,,,,,76.91
William,Theiss,*,*,66.14,*,,,,,,,,,66.14
Max,Tian,*,42.74,*,*,,,,,,,,,42.74
Heath,Tiberio,*,*,64.33,*,,,,,,,,,64.33
Brian,Tiedt,63.65,*,*,*,,,,,,,,,63.65
Cristian,Trivino,*,*,*,71.85,,,,,,,,,0
Jeremiah,Tsyporin,*,*,*,71.63,,,,,,,,,0
Bob,Tumiski,*,*,39.5,*,,,,,,,,,39.5
Scott,Vezina,*,*,64.36,55.22,,,,,,,,,64.36
Ellis,Walker,*,*,65.86,*,,,,,,,,,65.86
John,Wawrzynowski,60.67,*,*,*,,,,,,,,,60.67
Jeremy,Waycott,59.47,51.84,66.33,59.78,,,,,,,,,177.64
Brian,Werstler,65.64,*,*,*,,,,,,,,,65.64
Jonathan,Whitehouse,66.76,58.72,*,64.77,,,,,,,,,125.48
Lucas,Williamson,*,*,66.14,*,,,,,,,,,66.14
Bion,Williamson,*,*,62.01,*,,,,,,,,,62.01
Scott,Wissel,*,40.48,*,*,,,,,,,,,40.48
Dave,Yadach,*,*,51.35,*,,,,,,,,,51.35
Eric,Young,73.79,*,*,*,,,,,,,,,73.79
Ben,Young,*,*,*,90.56,,,,,,,,,0
Thomas,Zalonski,55.01,*,67.86,57.02,,,,,,,,,122.87
Tony,Zilu,*,58.6,*,*,,,,,,,,,58.6
Gabe,Zorabedian,*,*,*,61.34,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
